"titulo","autor","anio_publicacion","descripcion","formato"
"Don Quijote de la Mancha","Miguel de Cervantes","1605","Las aventuras del ingenioso hidalgo Don Quijote y su fiel escudero Sancho Panza en la España del Siglo de Oro.","epub"
"Cien años de soledad","Gabriel García Márquez","1967","La saga de la familia Buendía en el mítico pueblo de Macondo, obra cumbre del realismo mágico latinoamericano.","epub"
"Orgullo y prejuicio","Jane Austen","1813","La historia de amor entre Elizabeth Bennet y el señor Darcy en la Inglaterra del siglo XIX, con aguda crítica social.","epub"
"Crimen y castigo","Fiódor Dostoyevski","1866","El estudiante Raskolnikov comete un crimen y enfrenta las consecuencias psicológicas y morales de sus actos.","epub"
"Hamlet","William Shakespeare","1603","El príncipe de Dinamarca busca venganza por el asesinato de su padre mientras lucha con sus propios dilemas existenciales.","pdf"
"La Odisea","Homero","-800","El épico viaje de regreso de Odiseo tras la guerra de Troya, lleno de aventuras, monstruos y dioses griegos.","epub"
"La Ilíada","Homero","-750","El poema épico que narra los últimos años de la guerra de Troya y la cólera del héroe Aquiles.","epub"
"Fausto","Johann Wolfgang von Goethe","1808","El sabio Fausto hace un pacto con el diablo Mefistófeles buscando el conocimiento absoluto y la satisfacción total.","pdf"
"La divina comedia","Dante Alighieri","1320","Viaje alegórico por el Infierno, el Purgatorio y el Paraíso guiado por Virgilio y Beatrice.","epub"
"Moby Dick","Herman Melville","1851","La obsesiva búsqueda del capitán Ahab de la gran ballena blanca que le arrancó la pierna.","epub"
"El amor en los tiempos del cólera","Gabriel García Márquez","1985","Una historia de amor que dura más de cincuenta años entre Florentino Ariza y Fermina Daza.","epub"
"La casa de los espíritus","Isabel Allende","1982","Saga familiar chilena que abarca cuatro generaciones de mujeres con poderes sobrenaturales.","epub"
"Rayuela","Julio Cortázar","1963","Novela experimental que puede leerse en múltiples órdenes, siguiendo a Horacio Oliveira entre París y Buenos Aires.","epub"
"Pedro Páramo","Juan Rulfo","1955","Juan Preciado viaja al pueblo fantasma de Comala buscando a su padre y descubre un mundo de muertos.","epub"
"Ficciones","Jorge Luis Borges","1944","Colección de cuentos que exploran laberintos, bibliotecas infinitas y realidades alternativas.","epub"
"Los de abajo","Mariano Azuela","1915","Novela de la Revolución Mexicana que sigue a Demetrio Macías y su banda de insurrectos.","pdf"
"La vorágine","José Eustasio Rivera","1924","Arturo Cova se adentra en la selva amazónica colombiana en busca de su amada y descubre el horror del caucho.","epub"
"Doña Bárbara","Rómulo Gallegos","1929","El civilizado Santos Luzardo enfrenta a la temible cacica de los llanos venezolanos Doña Bárbara.","epub"
"El Aleph","Jorge Luis Borges","1949","Cuentos fantásticos que incluyen el famoso relato sobre un punto que contiene todos los puntos del universo.","epub"
"Los ríos profundos","José María Arguedas","1958","El joven Ernesto descubre la cultura andina y la injusticia social en el Perú de los años treinta.","epub"
"1984","George Orwell","1949","En un estado totalitario el empleado Winston Smith desafía al Gran Hermano en una distopía de vigilancia total.","epub"
"Un mundo feliz","Aldous Huxley","1932","Sociedad futura donde los humanos son condicionados desde el nacimiento para ser felices consumidores sin libertad.","epub"
"Dune","Frank Herbert","1965","Paul Atreides lidera una revolución en el desierto planeta Arrakis, única fuente de la especia más valiosa.","epub"
"Fundación","Isaac Asimov","1951","Hari Seldon usa la psicohistoria para guiar a la humanidad a través de un período de oscuridad galáctica.","epub"
"El marciano","Andy Weir","2011","El astronauta Mark Watney queda abandonado en Marte y usa ciencia e ingenio para sobrevivir.","epub"
"Fahrenheit 451","Ray Bradbury","1953","En un futuro donde los libros están prohibidos, el bombero Guy Montag comienza a cuestionarse su sociedad.","epub"
"La guerra de los mundos","H.G. Wells","1898","Los marcianos invaden la Tierra y la humanidad lucha desesperadamente por sobrevivir.","epub"
"El fin de la eternidad","Isaac Asimov","1955","Los Eternos manipulan la historia humana hasta que un técnico pone en peligro toda su organización.","epub"
"Ender's Game","Orson Scott Card","1985","El niño genio Ender Wiggin es entrenado para liderar la defensa de la Tierra contra una invasión alienígena.","epub"
"Neuromancer","William Gibson","1984","El hacker Case es contratado para perpetrar el mayor robo de datos en el ciberespacio.","epub"
"El cuento de la criada","Margaret Atwood","1985","En la república teocrática de Gilead, las mujeres fértiles son esclavas reproductoras llamadas Criadas.","epub"
"Solaris","Stanisław Lem","1961","Científicos en una estación espacial son confrontados por manifestaciones de sus memorias más dolorosas creadas por el océano de Solaris.","epub"
"Crónicas marcianas","Ray Bradbury","1950","Serie de relatos sobre la colonización humana de Marte y el destino de sus habitantes originales.","epub"
"El hombre en el castillo","Philip K. Dick","1962","Realidad alternativa donde los Aliados perdieron la Segunda Guerra Mundial y EEUU está dividido entre Alemania y Japón.","epub"
"2001: Una odisea del espacio","Arthur C. Clarke","1968","La tripulación de la nave Discovery viaja a Júpiter guiada por la IA HAL 9000 en busca del origen humano.","epub"
"El señor de los anillos","J.R.R. Tolkien","1954","El hobbit Frodo Bolsón emprende una épica misión para destruir el Anillo Único y salvar la Tierra Media.","epub"
"El Hobbit","J.R.R. Tolkien","1937","Bilbo Bolsón parte en una inesperada aventura con trece enanos para recuperar el tesoro custodiado por el dragón Smaug.","epub"
"Harry Potter y la piedra filosofal","J.K. Rowling","1997","El huérfano Harry Potter descubre que es un mago y comienza sus estudios en el colegio Hogwarts.","epub"
"Las crónicas de Narnia","C.S. Lewis","1950","Cuatro hermanos descubren un armario mágico que los lleva al mundo de Narnia, gobernado por la Bruja Blanca.","epub"
"El nombre del viento","Patrick Rothfuss","2007","Kvothe, el legendario mago, narra su propia vida desde su infancia entre los Edema Ruh hasta Arcanum.","epub"
"La rueda del tiempo","Robert Jordan","1990","Rand al'Thor descubre que es el Dragón Renacido destinado a enfrentar al Oscuro en la Última Batalla.","epub"
"Canción de hielo y fuego","George R.R. Martin","1996","En los Siete Reinos, las grandes casas luchan por el Trono de Hierro mientras una amenaza sobrenatural avanza.","epub"
"El código Da Vinci","Dan Brown","2003","Robert Langdon descifra un misterio que involucra al Opus Dei, el Priorato de Sión y el Santo Grial.","epub"
"Eragon","Christopher Paolini","2003","El joven Eragon encuentra un huevo de dragón y se convierte en jinete, protagonista de una épica guerra.","epub"
